iter	Passed	Remaining
418	2373	3291
419	2378	3285
420	2384	3278
421	2389	3272
422	2394	3266
423	2399	3259
424	2405	3253
425	2410	3247
426	2415	3241
427	2421	3235
428	2426	3229
429	2431	3223
430	2437	3218
431	2442	3211
432	2448	3205
433	2453	3199
434	2459	3194
435	2464	3188
436	2470	3182
437	2475	3176
438	2480	3170
439	2485	3163
440	2491	3158
441	2496	3152
442	2502	3146
443	2508	3140
444	2513	3134
445	2518	3128
446	2523	3122
447	2528	3115
448	2534	3109
449	2539	3103
450	2544	3097
451	2549	3090
452	2554	3084
453	2559	3078
454	2565	3072
455	2570	3066
456	2575	3060
457	2581	3054
458	2586	3048
459	2591	3042
460	2597	3036
461	2602	3030
462	2607	3024
463	2612	3018
464	2618	3012
465	2623	3006
466	2628	3000
467	2633	2993
468	2638	2987
469	2643	2981
470	2648	2975
471	2654	2969
472	2659	2963
473	2664	2957
474	2670	2951
475	2675	2945
476	2681	2939
477	2686	2934
478	2692	2928
479	2697	2922
480	2703	2916
481	2708	2910
482	2714	2905
483	2719	2899
484	2725	2893
485	2731	2888
486	2736	2882
487	2742	2877
488	2747	2871
489	2753	2865
490	2758	2859
491	2764	2854
492	2770	2848
493	2776	2843
494	2782	2838
495	2788	2833
496	2794	2827
497	2799	2822
498	2806	2817
499	2811	2811
500	2817	2806
501	2822	2800
502	2828	2794
503	2833	2788
504	2839	2783
505	2845	2777
506	2851	2772
507	2856	2766
508	2862	2761
509	2868	2756
510	2875	2751
511	2881	2746
512	2886	2740
513	2892	2734
514	2898	2729
515	2903	2723
516	2908	2717
517	2914	2711
518	2919	2705
519	2924	2699
520	2930	2693
521	2935	2688
522	2940	2681
523	2946	2676
524	2952	2670
525	2958	2665
526	2965	2661
527	2971	2656
528	2977	2651
529	2983	2646
530	2989	2640
531	2996	2636
532	3003	2631
533	3009	2625
534	3015	2621
535	3021	2615
536	3027	2610
537	3033	2604
538	3038	2599
539	3045	2594
540	3051	2588
541	3057	2583
542	3063	2578
543	3070	2573
544	3077	2569
545	3083	2563
546	3088	2557
547	3095	2552
548	3100	2547
549	3107	2542
550	3113	2536
551	3118	2530
552	3124	2525
553	3131	2521
554	3137	2515
555	3144	2511
556	3150	2505
557	3156	2500
558	3163	2495
559	3169	2490
560	3176	2486
561	3182	2480
562	3188	2475
563	3196	2470
564	3202	2465
565	3209	2461
566	3219	2458
567	3227	2454
568	3236	2451
569	3245	2448
570	3251	2443
571	3259	2439
572	3266	2434
573	3273	2429
574	3278	2423
575	3284	2417
576	3290	2412
577	3296	2406
578	3302	2401
579	3308	2395
580	3313	2389
581	3319	2384
582	3326	2379
583	3331	2373
584	3338	2368
585	3344	2362
586	3349	2356
587	3356	2351
588	3361	2345
589	3367	2340
590	3373	2334
591	3379	2329
592	3385	2323
593	3391	2318
594	3397	2312
595	3404	2307
596	3410	2301
597	3416	2296
598	3421	2290
599	3427	2285
600	3433	2279
601	3439	2273
602	3445	2268
603	3451	2263
604	3457	2257
605	3463	2251
606	3469	2246
607	3475	2240
608	3481	2235
609	3487	2229
610	3492	2223
611	3499	2218
612	3505	2212
613	3510	2207
614	3517	2201
615	3523	2196
616	3529	2190
617	3535	2185
618	3540	2179
619	3546	2173
620	3552	2168
621	3557	2162
622	3563	2156
623	3568	2150
624	3573	2144
625	3579	2138
626	3585	2132
627	3590	2126
628	3595	2121
629	3601	2115
630	3606	2109
631	3612	2103
632	3618	2097
633	3623	2091
634	3628	2085
635	3634	2079
636	3639	2073
637	3645	2068
638	3650	2062
639	3655	2056
640	3661	2050
641	3666	2044
642	3671	2038
643	3677	2032
644	3682	2026
645	3687	2020
646	3692	2014
647	3698	2008
648	3703	2003
649	3708	1997
650	3714	1991
651	3719	1985
652	3724	1979
653	3729	1973
654	3735	1967
655	3740	1961
656	3746	1955
657	3751	1949
658	3756	1943
659	3761	1937
660	3767	1932
661	3772	1926
662	3778	1920
663	3783	1914
664	3789	1908
665	3794	1902
666	3800	1897
667	3805	1891
668	3810	1885
669	3815	1879
670	3820	1873
671	3825	1867
672	3830	1861
673	3836	1855
674	3842	1849
675	3847	1844
676	3853	1838
677	3858	1832
678	3864	1826
679	3870	1821
680	3876	1815
681	3882	1810
682	3888	1804
683	3893	1798
684	3899	1793
685	3905	1787
686	3911	1781
687	3917	1776
688	3923	1770
689	3929	1765
690	3935	1760
691	3942	1754
692	3948	1749
693	3954	1743
694	3959	1737
695	3964	1731
696	3969	1725
697	3975	1719
698	3980	1714
699	3985	1708
700	3991	1702
701	3996	1696
702	4002	1690
703	4007	1685
704	4014	1679
705	4021	1674
706	4026	1668
707	4033	1663
708	4038	1657
709	4043	1651
710	4050	1646
711	4055	1640
712	4060	1634
713	4067	1629
714	4072	1623
715	4078	1617
716	4084	1612
717	4090	1606
718	4096	1600
719	4105	1596
720	4111	1590
721	4117	1585
722	4123	1579
723	4129	1574
724	4135	1568
725	4141	1562
726	4147	1557
727	4153	1551
728	4158	1545
729	4164	1540
730	4170	1534
731	4176	1529
732	4182	1523
733	4187	1517
734	4193	1512
735	4200	1506
736	4206	1500
737	4212	1495
738	4219	1490
739	4227	1485
740	4235	1480
741	4242	1475
742	4249	1469
743	4257	1464
744	4264	1459
745	4272	1454
746	4279	1449
747	4286	1444
748	4294	1439
749	4301	1433
750	4308	1428
751	4315	1423
752	4322	1417
753	4329	1412
754	4336	1407
755	4343	1401
756	4349	1396
757	4357	1391
758	4365	1385
759	4371	1380
760	4377	1374
761	4384	1369
762	4390	1363
763	4396	1358
764	4402	1352
765	4408	1346
766	4413	1340
767	4419	1335
768	4426	1329
769	4431	1323
770	4437	1318
771	4443	1312
772	4449	1306
773	4455	1300
774	4460	1295
775	4466	1289
776	4472	1283
777	4478	1277
778	4483	1271
779	4489	1266
780	4495	1260
781	4501	1254
782	4507	1249
783	4513	1243
784	4518	1237
785	4525	1232
786	4531	1226
787	4537	1220
788	4543	1215
789	4549	1209
790	4555	1203
791	4560	1197
792	4566	1191
793	4572	1186
794	4577	1180
795	4584	1174
796	4590	1169
797	4595	1163
798	4601	1157
799	4607	1151
800	4613	1146
801	4619	1140
802	4625	1134
803	4630	1128
804	4636	1123
805	4642	1117
806	4647	1111
807	4653	1105
808	4659	1100
809	4665	1094
810	4671	1088
811	4676	1082
812	4682	1077
813	4688	1071
814	4694	1065
815	4699	1059
816	4705	1053
817	4711	1048
818	4716	1042
819	4722	1036
820	4728	1030
821	4734	1025
822	4739	1019
823	4745	1013
824	4751	1007
825	4757	1002
826	4762	996
827	4768	990
828	4774	984
829	4780	979
830	4786	973
831	4792	967
832	4798	961
833	4804	956
834	4810	950
835	4816	944
836	4822	939
837	4827	933
838	4833	927
839	4839	921
840	4845	916
841	4851	910
842	4857	904
843	4863	898
844	4869	893
845	4875	887
846	4881	881
847	4887	876
848	4893	870
849	4900	864
850	4906	859
851	4912	853
852	4918	847
853	4924	841
854	4930	836
855	4936	830
856	4941	824
857	4948	818
858	4953	813
859	4961	807
860	4968	802
861	4976	796
862	4982	790
863	4988	785
864	4993	779
865	4999	773
866	5005	767
867	5010	761
868	5015	756
869	5021	750
870	5026	744
871	5032	738
872	5037	732
873	5042	726
874	5048	721
875	5054	715
876	5060	709
877	5065	703
878	5070	698
879	5076	692
880	5081	686
881	5087	680
882	5092	674
883	5098	668
884	5103	663
885	5108	657
886	5114	651
887	5119	645
888	5124	639
889	5130	634
890	5135	628
891	5141	622
892	5146	616
893	5152	610
894	5157	605
895	5163	599
896	5168	593
897	5173	587
898	5178	581
899	5184	576
900	5189	570
901	5195	564
902	5200	558
903	5205	552
904	5210	547
905	5216	541
906	5221	535
907	5227	529
908	5233	523
909	5239	518
910	5244	512
911	5250	506
912	5255	500
913	5261	495
914	5266	489
915	5272	483
916	5277	477
917	5283	471
918	5288	466
919	5293	460
920	5299	454
921	5304	448
922	5309	442
923	5315	437
924	5320	431
925	5325	425
926	5331	419
927	5336	414
928	5342	408
929	5347	402
930	5353	396
931	5358	390
932	5364	385
933	5371	379
934	5376	373
935	5381	367
936	5387	362
937	5392	356
938	5398	350
939	5403	344
940	5409	339
941	5414	333
942	5420	327
943	5425	321
944	5431	316
945	5436	310
946	5442	304
947	5447	298
948	5452	293
949	5458	287
950	5463	281
951	5469	275
952	5475	270
953	5481	264
954	5486	258
955	5492	252
956	5497	247
957	5502	241
958	5508	235
959	5513	229
960	5518	223
961	5524	218
962	5529	212
963	5534	206
964	5540	200
965	5545	195
966	5551	189
967	5556	183
968	5562	177
969	5568	172
970	5573	166
971	5579	160
972	5584	154
973	5589	149
974	5595	143
975	5600	137
976	5606	131
977	5611	126
978	5616	120
979	5621	114
980	5626	108
981	5632	103
982	5637	97
983	5642	91
984	5648	86
985	5653	80
986	5659	74
987	5664	68
988	5670	63
989	5675	57
990	5681	51
991	5686	45
992	5691	40
993	5697	34
994	5702	28
995	5708	22
996	5713	17
997	5718	11
998	5724	5
999	5729	0
