iter	Logloss
132	0.3408857961
133	0.3400629583
134	0.3392682053
135	0.3384479887
136	0.337705066
137	0.3367128551
138	0.3362574917
139	0.3359619642
140	0.335395001
141	0.3345883683
142	0.3334880687
143	0.3326117457
144	0.3320602888
145	0.3314213168
146	0.3306834451
147	0.3302334908
148	0.3296238004
149	0.3286213091
150	0.328026993
151	0.3275314855
152	0.3266252456
153	0.3262228534
154	0.3256843696
155	0.3252912037
156	0.3246570693
157	0.3243238429
158	0.3240853593
159	0.323250691
160	0.3224972894
161	0.3216863976
162	0.3209955025
163	0.3205675043
164	0.3202299623
165	0.3194480172
166	0.3189096823
167	0.3183031181
168	0.3178237947
169	0.3171951772
170	0.3168064414
171	0.3157606356
172	0.315499689
173	0.315035769
174	0.3142679725
175	0.3134429282
176	0.3128442672
177	0.312396681
178	0.312086958
179	0.3116162637
180	0.3111058747
181	0.3102513248
182	0.3096227639
183	0.3092632931
184	0.3087738729
185	0.3083133089
186	0.3077648016
187	0.3067249458
188	0.3062949777
189	0.3056334601
190	0.3050084117
191	0.3041862106
192	0.3035584219
193	0.3029196434
194	0.3025261264
195	0.3021073946
196	0.3018089655
197	0.3012852218
198	0.3008635587
199	0.3004068074
200	0.2997324763
201	0.2992875648
202	0.299072986
203	0.2985980856
204	0.2981330366
205	0.2976049045
206	0.2972580342
207	0.2969609702
208	0.296677167
209	0.295915795
210	0.295593815
211	0.2951363943
212	0.2948795282
213	0.2942523323
214	0.2940634397
215	0.2938110368
216	0.2933739345
217	0.2931291972
218	0.2928359439
219	0.2925545419
220	0.2922628255
221	0.2918553995
222	0.2915104834
223	0.2912986831
224	0.2908379678
225	0.2901697647
226	0.2898667075
227	0.2895760773
228	0.2890891563
229	0.2886855303
230	0.2882040942
231	0.2878137032
232	0.2875423423
233	0.2870866439
234	0.2866631343
235	0.286300798
236	0.2860028053
237	0.285563482
238	0.2853404504
239	0.2849267908
240	0.2845680699
241	0.2842532788
242	0.2836667141
243	0.2833443774
244	0.2829068808
245	0.2825536379
246	0.2822295088
247	0.2819547527
248	0.2813015222
249	0.2808854515
250	0.2804604851
251	0.2802162728
252	0.279828948
253	0.2794380521
254	0.2788240456
255	0.2784351597
256	0.277706706
257	0.2774258488
258	0.2770942455
259	0.2767851738
260	0.2763977989
261	0.2760122114
262	0.2757403038
263	0.2754565819
264	0.274950632
265	0.274550078
266	0.274275397
267	0.2738583316
268	0.2736474195
269	0.2734834668
270	0.2731630303
271	0.272885249
272	0.2720053846
273	0.271630133
274	0.2712974563
275	0.2708825948
276	0.2704742542
277	0.2700802268
278	0.2698303288
279	0.2694863137
280	0.2693136476
281	0.2689790428
282	0.2686524424
283	0.2683349406
284	0.2679442168
285	0.2676315892
286	0.2674170007
287	0.267113241
288	0.2668781013
289	0.2666939097
290	0.2663459864
291	0.265950349
292	0.2657274547
293	0.2655897034
294	0.2652560818
295	0.2648659151
296	0.2645177575
297	0.2640237014
298	0.2637376662
299	0.2632778175
300	0.2629352556
301	0.2626458102
302	0.2623954283
303	0.2621467024
304	0.2617334453
305	0.2614495072
306	0.2612147143
307	0.2609611384
308	0.260741937
309	0.2604113587
310	0.2601051883
311	0.2597911047
312	0.2595876169
313	0.2593117002
314	0.2591165467
315	0.2588300693
316	0.258489076
317	0.2582797074
318	0.2580988417
319	0.2577663253
320	0.2573264
321	0.2566666044
322	0.2564075906
323	0.2561348636
324	0.2557273654
325	0.2554456493
326	0.2552211941
327	0.2549389219
328	0.2546308985
329	0.2542446797
330	0.2539158716
331	0.2535650141
332	0.253221392
333	0.2528910309
334	0.2525257057
335	0.2523543484
336	0.2520997988
337	0.2517111277
338	0.251287302
339	0.2509490053
340	0.2507921843
341	0.2504225433
342	0.2501470684
343	0.2498192278
344	0.2496324228
345	0.2493305386
346	0.2489112284
347	0.2486612569
348	0.2483331701
349	0.2480171462
350	0.2475488954
351	0.247193352
352	0.2468633119
353	0.2466831867
354	0.2462220071
355	0.2458463598
356	0.2456609097
357	0.2454069087
358	0.24530102
359	0.2449667776
360	0.2448166904
361	0.2441837775
362	0.2439242055
363	0.2436227975
364	0.2433826455
365	0.2430890205
366	0.2428856035
367	0.2423411362
368	0.2420095773
369	0.241672286
370	0.2413873299
371	0.2411748097
372	0.2409367881
373	0.2407723552
374	0.2405062981
375	0.2402483713
376	0.2399526697
377	0.2397357749
378	0.239534771
379	0.2391970115
380	0.2388458704
381	0.2384547672
382	0.2382125076
383	0.2380701304
384	0.237578613
385	0.2371404612
386	0.2368790602
387	0.2365421345
388	0.2363545905
389	0.2362076343
390	0.2360419229
391	0.2358395361
392	0.2355810946
393	0.2353243679
394	0.2351525297
395	0.2348192592
396	0.2345038369
397	0.2343363171
398	0.2341424339
399	0.2339784071
400	0.2336655505
401	0.2334314474
402	0.2331708914
403	0.232883985
404	0.2326548289
405	0.2324627469
406	0.2320965773
407	0.2317874666
408	0.2315434465
409	0.2313240273
410	0.2310287751
411	0.2307430742
412	0.2304690806
413	0.2302580244
414	0.2300914422
415	0.2299493182
416	0.229691272
417	0.2295098921
418	0.2292716849
419	0.2290255048
420	0.2288721677
421	0.2285590319
422	0.2282275205
423	0.2280221824
424	0.2277882914
425	0.2275825751
426	0.2273743215
427	0.2270866601
428	0.2268037117
429	0.2266097513
430	0.2264230988
431	0.2262078458
432	0.2259437105
433	0.225736799
434	0.2255630723
435	0.2253201599
436	0.2251196393
437	0.2248388608
438	0.2246923134
439	0.2245561876
440	0.2242151506
441	0.2240896904
442	0.2238281015
443	0.2235462186
444	0.2233421272
445	0.2231462524
446	0.2229628218
447	0.2227055179
448	0.2223922205
449	0.2222767371
450	0.2220147759
451	0.2217784092
452	0.2215524538
453	0.2212912351
454	0.2210322479
455	0.2208697452
456	0.2207188204
457	0.2205771479
458	0.2203604368
459	0.2201440634
460	0.2198754709
461	0.2196662462
462	0.2194159033
463	0.2192213312
464	0.2190180135
465	0.2188246643
466	0.2186302023
467	0.2185017405
468	0.2183463992
469	0.2180823224
470	0.2178904948
471	0.2176555976
472	0.2174477423
473	0.2173298079
474	0.2172051157
475	0.2169157235
476	0.216796354
477	0.2166450237
478	0.2164200641
479	0.2162489475
480	0.2160334658
481	0.2158499068
482	0.215725862
483	0.2156237678
484	0.215507406
485	0.2153557577
486	0.2150729662
487	0.2148169971
488	0.2146292406
489	0.2145189518
490	0.2142887745
491	0.2141445074
492	0.2139385444
493	0.2136749987
494	0.2134617037
495	0.213342489
496	0.2130839803
497	0.2129892177
498	0.2128029863
499	0.2126834857
500	0.2125082127
501	0.2122463808
502	0.2120061688
503	0.2118512373
504	0.2117433981
505	0.2116431786
506	0.2114019849
507	0.2111215644
508	0.2108836653
509	0.2106109863
510	0.2104871503
511	0.210237323
512	0.2101372459
513	0.2099306223
514	0.2097470117
515	0.209512803
516	0.209316986
517	0.209147919
518	0.2090001939
519	0.208828583
520	0.2085019123
521	0.2083060429
522	0.2081418095
523	0.2079930507
524	0.2078178408
525	0.2075611816
526	0.2073711356
527	0.2073037511
528	0.2071598701
529	0.2069990659
530	0.2068267985
531	0.2066091334
532	0.2064066678
533	0.2062316333
534	0.2060204661
535	0.2057891091
536	0.2055576419
537	0.2054061115
538	0.2052456187
539	0.2049796781
540	0.2048760985
541	0.2047839692
542	0.2046294805
543	0.2044763324
544	0.2043164136
545	0.2041547936
546	0.2039705068
547	0.2038195775
548	0.2036360745
549	0.2034214415
550	0.2031491344
551	0.2027997396
552	0.2026371767
553	0.2025412523
554	0.2023229644
555	0.2022187594
556	0.2020615208
557	0.2018982285
558	0.2016009432
559	0.2014353588
560	0.201278196
561	0.2011831916
562	0.2010811549
563	0.2008844066
564	0.2007669051
565	0.2005787951
566	0.2004216926
567	0.2002539195
568	0.2001061719
569	0.1999062753
570	0.1996764694
571	0.1995520788
572	0.1994481581
573	0.1992793513
574	0.1991297707
575	0.1989893291
576	0.1987897307
577	0.1985787977
578	0.1984949906
579	0.1982962532
580	0.1981115881
581	0.1980421032
582	0.1978656534
583	0.1977732984
584	0.1976797408
585	0.1975320213
586	0.1973947789
587	0.1972091031
588	0.1970999704
589	0.1970147182
590	0.1968804266
591	0.1967180597
592	0.1965642796
593	0.1963675451
594	0.1961777621
595	0.1960138014
596	0.1957876614
597	0.1954328064
598	0.1952116972
599	0.1950940962
600	0.1949367517
601	0.1947152739
602	0.1945325592
603	0.1943206155
604	0.1941349579
605	0.1939529665
606	0.1937591388
607	0.1936229852
608	0.1934475354
609	0.1933118454
610	0.1930975356
611	0.1929064554
612	0.1926167193
613	0.1924373926
614	0.1923606813
615	0.1921827032
616	0.1920091484
617	0.1918562029
618	0.1916928686
619	0.191557417
620	0.1914224939
621	0.1912858787
622	0.1912379584
623	0.1911834888
624	0.191040814
625	0.1908456289
626	0.1906734179
627	0.1905088946
628	0.1903506649
629	0.1902240729
630	0.1900973548
631	0.1899026142
632	0.1898317796
633	0.1896776107
634	0.1894964629
635	0.1892935782
636	0.1890802352
637	0.188958497
638	0.1888755287
639	0.188763762
640	0.1885936676
641	0.1884094908
642	0.1882856566
643	0.1881232224
644	0.1880499942
645	0.1879808269
646	0.1879226762
647	0.1878004507
648	0.1876258869
649	0.1875290463
650	0.1873564148
651	0.1872279917
652	0.1871638294
653	0.1870155964
654	0.1869481633
655	0.1868785505
656	0.1866628192
657	0.1865974829
658	0.1865106403
659	0.1863914718
660	0.1863318253
661	0.1862202597
662	0.1861076982
663	0.1859173739
664	0.18578045
665	0.185704071
666	0.1854649271
667	0.1853637794
668	0.18530372
669	0.1851159227
670	0.1850533651
671	0.1849358475
672	0.1847977856
673	0.1846706215
674	0.1845118813
675	0.1842991156
676	0.1841121498
677	0.1840566034
678	0.1838572696
679	0.1837397365
680	0.1835836191
681	0.1835291426
682	0.1833467128
683	0.1832212415
684	0.1831064634
685	0.1830057883
686	0.1828366811
687	0.1826889457
688	0.1825270459
689	0.1823484271
690	0.1822241194
691	0.1820681322
692	0.1819247774
693	0.181872536
694	0.1817303025
695	0.1816020277
696	0.1815167916
697	0.1814002342
698	0.181252952
699	0.1810589895
700	0.180910868
701	0.1807692303
702	0.1806370727
703	0.1805447693
704	0.180386211
705	0.1802295896
706	0.1801226471
707	0.1800738249
708	0.1799087372
709	0.1797780649
710	0.1797003997
711	0.1795904329
712	0.1795071286
713	0.1794484152
714	0.1793070842
715	0.179129207
716	0.1790527474
717	0.1789460815
718	0.1787934489
719	0.1786835801
720	0.1785579416
721	0.1784109547
722	0.1782477872
723	0.1781143624
724	0.1779454413
725	0.1778549809
726	0.1777566888
727	0.177670322
728	0.1775963706
729	0.1775413908
730	0.177495843
731	0.1773198149
732	0.1772571565
733	0.1770807029
734	0.1769408898
735	0.1767775778
736	0.1766463356
737	0.1765372108
738	0.1764977336
739	0.1763810784
740	0.1762800379
741	0.1762062746
742	0.1761632743
743	0.1760331406
744	0.1759158221
745	0.1757955211
746	0.1757500808
747	0.1756111264
748	0.1755267771
749	0.1754634699
750	0.1753015318
751	0.1751550243
752	0.175097724
753	0.1749830921
754	0.1748204402
755	0.1746878822
756	0.1745343776
757	0.1744390326
758	0.1743043997
759	0.1741978296
760	0.1741059045
761	0.174014386
762	0.1738235268
763	0.1737065997
764	0.1735489796
765	0.1733622788
766	0.173270707
767	0.1731506104
768	0.1730743264
769	0.1729659816
770	0.1728952195
771	0.1727630773
772	0.1726770655
773	0.1725362084
774	0.1724183964
775	0.1723734526
776	0.1723027761
777	0.1722614402
778	0.1722211219
779	0.1719754937
780	0.1719049263
781	0.1718510264
782	0.1717653506
783	0.1716291569
784	0.1715018285
785	0.1713907132
786	0.1712797037
787	0.1711887496
788	0.1710342853
789	0.1708302347
790	0.1707685169
791	0.1706565412
792	0.1705606193
793	0.1704616532
794	0.170339396
795	0.1702716514
796	0.1701621255
797	0.1700896861
798	0.1700077872
799	0.1699211597
800	0.1697917515
801	0.1696776014
802	0.169546794
803	0.1694321441
804	0.1693467518
805	0.1692504687
806	0.1691660443
807	0.1690494598
808	0.1689963994
809	0.1688941972
810	0.1687749762
811	0.1686665277
812	0.1685692409
813	0.168420764
814	0.1682889436
815	0.1681711173
816	0.1681072333
817	0.1680313054
818	0.1679001887
819	0.167832093
820	0.1676842165
821	0.1675480353
822	0.1674841201
823	0.1673917994
824	0.1673163869
825	0.1672042723
826	0.1671310381
827	0.1670938509
828	0.1670291073
829	0.1669229236
830	0.1667909777
831	0.1667002134
832	0.1666471858
833	0.1665555928
834	0.166472457
835	0.1662802849
836	0.1662166497
837	0.166183848
838	0.1660775608
839	0.1660463552
840	0.1659711271
841	0.1658958578
842	0.1657605927
843	0.1657045306
844	0.1656247996
845	0.1654797566
846	0.1653720732
847	0.1652589271
848	0.1650965248
849	0.1649816957
850	0.1649362912
851	0.1648081103
852	0.1647529391
853	0.1646540063
854	0.1645192802
855	0.1644226598
856	0.1643222655
857	0.1642007173
858	0.164066573
859	0.1639730053
860	0.1638559502
861	0.1637503707
862	0.1637030515
863	0.1636475993
864	0.1634883561
865	0.1633587348
866	0.1632764521
867	0.1631987415
868	0.163054946
869	0.1629440597
870	0.1628516254
871	0.1627873539
872	0.1626806562
873	0.1626190102
874	0.1625534649
875	0.1624775457
876	0.1623598701
877	0.1622848386
878	0.1621799428
879	0.1620974663
880	0.1620224446
881	0.1619833743
882	0.1619173069
883	0.1618263701
884	0.1617444286
885	0.1616758378
886	0.1615396179
887	0.1614634206
888	0.1613829689
889	0.1612652208
890	0.1611855478
891	0.1610643555
892	0.1609875696
893	0.1609295294
894	0.1608186822
895	0.1607539761
896	0.1606778712
897	0.1606422381
898	0.1606074223
899	0.160518183
900	0.1604546254
901	0.160364953
902	0.160230315
903	0.1601076094
904	0.1600274382
905	0.1598521543
906	0.1597765019
907	0.1596595575
908	0.1595596147
909	0.1594759742
910	0.1593903825
911	0.1592977453
912	0.1591397033
913	0.1591114826
914	0.1590711075
915	0.1590025307
916	0.1589597675
917	0.1589069536
918	0.1587996356
919	0.1586957632
920	0.158593688
921	0.1585309842
922	0.1584248187
923	0.1583463009
924	0.1582684876
925	0.1581587166
926	0.1580653295
927	0.157995954
928	0.1579191632
929	0.1578311378
930	0.1577487075
931	0.1575923602
932	0.1574912852
933	0.1574233997
934	0.1573598517
935	0.1573014091
936	0.1571899974
937	0.1570797914
938	0.156938562
939	0.1568444444
940	0.1567626972
941	0.1566700685
942	0.1566031863
943	0.1565278252
944	0.1564518371
945	0.1563647669
946	0.1562920286
947	0.1561816113
948	0.1560815382
949	0.1559666777
950	0.1558959248
951	0.1558254089
952	0.1557599748
953	0.1556589365
954	0.15558602
955	0.1554656419
956	0.1553641107
957	0.1552475767
958	0.155188543
959	0.1550758596
960	0.1549794624
961	0.1549122096
962	0.1548062915
963	0.1547324324
964	0.1546669623
965	0.1545860906
966	0.15444288
967	0.1543720666
968	0.1542642595
969	0.1542043445
970	0.1541144347
971	0.1540164266
972	0.1538970192
973	0.1538650292
974	0.1537261458
975	0.1536484449
976	0.1535763863
977	0.1534729678
978	0.1534264033
979	0.1533311886
980	0.1532319211
981	0.1531567665
982	0.1530495205
983	0.1529876665
984	0.1529281451
985	0.1528478189
986	0.1527567025
987	0.1526549661
988	0.1525260596
989	0.1524204268
990	0.1523456889
991	0.1522626528
992	0.152219373
993	0.1521855037
994	0.1521691454
995	0.1520897498
996	0.1519976506
997	0.1518963915
998	0.1517998013
999	0.1517280367
